substation_name,substation_id,division,voltage_kv,num_banks,ungrounded_banks,existing_dg_kw,queued_dg_kw,total_dg_kw,redacted,longitude,latitude
FELTON,8314,Central Coast,4.16,1.0,,0,0,0,Yes,-122.0644545612008,37.04909053509473
EMBARCADERO (Z),2287,San Francisco,12.0,1.0,,8760,310,9070,Yes,-122.39363802548571,37.787578098008446
SF M,2227,San Francisco,4.16,3.0,,3420,220,3640,No,-122.43054770849852,37.733508415379255
RAWSON,10353,North Valley,12.0,1.0,,4440,1140,5580,No,-122.2122547593741,40.14506917599813
OAKLAND K,1210,East Bay,12.0,1.0,,14940,1260,16200,Yes,-122.22891804293768,37.847862884381655
WINDSOR,4350,Sonoma,12.0,1.0,,10260,2300,12560,No,-122.83240176689247,38.56592444445207
CALAVERAS CEMENT,16221,Stockton,12.0,1.0,,5150,4550,9700,No,-120.66845206163632,38.17053149409406
6TH AVENUE,2253,San Francisco,4.16,3.0,,270,20,290,No,-122.4647973814628,37.78165946851242
KANAKA,10322,North Valley,12.0,1.0,1,140,20,160,No,-121.30575066528326,39.57508683288682
FITCH MOUNTAIN,4275,Sonoma,12.0,2.0,"1,2",6963,8864,15827,No,-122.85303132509898,38.606826614556056
EL DORADO PH,15276,Sierra,21.0,1.0,,2385,2712,5097,No,-120.61933508570162,38.79358310217803
RUSSELL,1331,East Bay,4.16,1.0,,634,657,1291,No,-122.27989615948655,37.85452448999599
WHITNEY,1324,Diablo,4.16,1.0,,90,90,180,No,-121.88567049158526,38.02255800796905
KERCKHOFF,25256,Fresno,12.0,1.0,,204,204,408,No,-119.55301276394894,37.09207364074768
18TH STREET,2239,San Francisco,4.16,1.0,,370,20,390,No,-122.4388699445812,37.76111429249559
CHOLAME,18256,Los Padres,12.0,2.0,2,825,12530,13355,No,-120.33615099258384,35.68629650117082
PIT NO 5,10132,North Valley,12.0,1.0,,2057,2062,4119,Yes,-121.97630522163178,40.98670271889426
MIWUK,16366,Yosemite,17.0,1.0,1,4190,350,4540,No,-120.2170845064534,38.05297067526115
PIT NO 3,10373,North Valley,21.0,1.0,,38,38,76,Yes,-121.7472863637594,40.99802297914013
MARINA (F),2278,San Francisco,4.16,3.0,,1210,80,1290,Yes,-122.43292366391157,37.80378471822409
NEW HOPE,16208,Stockton,12.0,1.0,1,860,2514,3374,No,-121.47310289510555,38.226101912543534
FAIRMOUNT,1265,East Bay,4.16,2.0,,923,1038,1961,No,-122.29689529328267,37.90189965591967
CASSERLY,8311,Central Coast,4.16,1.0,,336,355,691,No,-121.7670741950634,36.96982661403625
WISHON,25151,Yosemite,12.0,1.0,,0,0,0,Yes,-119.50518495210504,37.15077516130075
PORTOLA,2261,San Francisco,4.16,2.0,,1380,120,1500,Yes,-122.45297067958056,37.74525528678235
PIT NO 7,10350,North Valley,12.0,1.0,,0,0,0,Yes,-121.9908102636006,40.84883693227003
SHEPHERD,25206,Fresno,21.0,1.0,,12177,13042,25219,No,-119.69451127750511,36.87266718173742
CHICO C,10265,North Valley,4.16,1.0,,410,20,430,No,-121.83856008023211,39.74305713932799
SF K,2213,San Francisco,4.16,5.0,,2620,4610,7230,Yes,-122.4838239209022,37.77662104706635
CRESCENT MILLS,10313,North Valley,21.0,1.0,,0,0,0,No,-120.91070330230104,40.093925518711536
LARKIN (Y),2280,San Francisco,12.0,6.0,,15080,1070,16150,Yes,-122.41709996298523,37.78386895744195
PIT NO 1,10372,North Valley,12.0,1.0,,2230,690,2920,No,-121.49747687310516,40.990515571941216
TULE POWER HOUSE,25859,Fresno,12.0,1.0,,0,0,0,No,-118.7060628045967,36.16309619762456
PLYMOUTH,2268,San Francisco,4.16,1.0,,600,110,710,No,-122.45577702187045,37.71258459729903
ACTON,2247,San Francisco,4.16,2.0,,580,10,590,No,-122.45185131815214,37.70866425535986
SAN BENITO,18274,Central Coast,21.0,1.0,,2676,3041,5717,No,-121.54942913233612,36.86860625244168
SULLIVAN,2285,Peninsula,4.16,1.0,,210,90,300,No,-122.4717637101012,37.68724547633245
WALL,1374,East Bay,4.16,1.0,,965,1047,2012,No,-122.31817641662892,37.92740629292976
RANDOLPH,2259,San Francisco,4.16,3.0,,263,282,545,No,-122.46933508414892,37.7145484958375
CRESTA PH,10225,North Valley,12.0,,,990,990,1980,Yes,-121.4096899580418,39.82649357391756
YOSEMITE,2249,San Francisco,4.16,3.0,,590,20,610,No,-122.39705250965748,37.72932287844001
BEACH (Q),2234,San Francisco,4.16,1.0,,100,0,100,No,-122.41439367858108,37.80767668920345
SILVER,2267,San Francisco,4.16,1.0,,340,20,360,No,-122.41440058169415,37.7292092119054
8TH AVENUE,1267,East Bay,4.16,1.0,,375,378,753,No,-122.24202081133105,37.80064538752543
SPAULDING,15225,Sierra,12.0,1.0,,10,10,20,No,-120.643761373542,39.32583317195124
BERKELEY T,1266,East Bay,4.16,2.0,,520,50,570,No,-122.25905444052576,37.86457393824122
BECK STREET,1264,East Bay,4.16,1.0,,60,60,120,No,-122.17570399534448,37.76624214689912
JUDAH,2240,San Francisco,4.16,2.0,,690,50,740,No,-122.493499260624,37.76070385654141
WESTLAKE,2260,Peninsula,4.16,2.0,,361,384,745,No,-122.48018281387162,37.69887646243163
SF E,2207,San Francisco,12.0,3.0,,5170,690,5860,No,-122.42031135616251,37.75998246201988
SF G,2209,San Francisco,4.16,3.0,,1460,330,1790,Yes,-122.44062610314488,37.78179800978079
CALFLAX,25344,Fresno,12.0,1.0,,2065,2065,4130,No,-120.12208024379596,36.28387686148028
PINECREST,16316,Yosemite,4.16,1.0,,0,0,0,No,-119.99379985135106,38.187947321566135
MC CALL,25412,Fresno,12.0,2.0,,7264,8124,15388,No,-119.63836125979108,36.6103052673948
STANISLAUS,16282,Yosemite,17.0,1.0,2,1304,1549,2853,No,-120.36971689458166,38.14006225541333
BALCH NO 1,25250,Fresno,12.0,1.0,,0,0,0,No,-119.08622824128604,36.90832240674941
CAL WATER,25545,Kern,12.0,1.0,,12833,13344,26177,No,-118.90059842079376,35.42222837471225
EUREKA A,19212,Humboldt,12.0,1.0,,887,1073,1960,No,-124.18290357012602,40.79388382264845
BABEL,1385,Diablo,4.16,1.0,,844,874,1718,No,-122.00737229942786,37.96340949870682
AVENAL,25500,Fresno,21.0,1.0,,8337,10060,18397,No,-120.1169296096175,35.978183285259895
7TH STANDARD,25458,Kern,12.0,2.0,,11930,12698,24628,No,-119.13116637687604,35.43969344317223
TAR FLAT,16324,Yosemite,4.16,1.0,,587,651,1238,No,-120.37980694800358,37.98475497824085
SAN JOAQUIN #3,25253,Yosemite,12.0,1.0,,279,317,596,No,-119.51929522608286,37.25390411510671
ELECTRA,16216,Stockton,12.0,1.0,1,1444,1811,3255,No,-120.67246808322844,38.33116093177938
SF P (HUNTERS POINT),2233,San Francisco,12.0,2.0,,632,667,1299,Yes,-122.37748705304148,37.737055022315424
