substation_name,substation_id,division,voltage_kv,num_banks,ungrounded_banks,existing_dg_kw,queued_dg_kw,total_dg_kw,redacted,longitude,latitude
6TH AVENUE,2253,San Francisco,4.16,3.0,,270,20,290,No,-122.4647973814628,37.78165946851242
KANAKA,10322,North Valley,12.0,1.0,1,140,20,160,No,-121.30575066528326,39.57508683288682
RUSSELL,1331,East Bay,4.16,1.0,,634,657,1291,No,-122.27989615948655,37.85452448999599
WHITNEY,1324,Diablo,4.16,1.0,,90,90,180,No,-121.88567049158526,38.02255800796905
18TH STREET,2239,San Francisco,4.16,1.0,,370,20,390,No,-122.4388699445812,37.76111429249559
CHOLAME,18256,Los Padres,12.0,2.0,2,825,12530,13355,No,-120.33615099258384,35.68629650117082
MARINA (F),2278,San Francisco,4.16,3.0,,1210,80,1290,Yes,-122.43292366391157,37.80378471822409
NEW HOPE,16208,Stockton,12.0,1.0,1,860,2514,3374,No,-121.47310289510555,38.226101912543534
CASSERLY,8311,Central Coast,4.16,1.0,,336,355,691,No,-121.7670741950634,36.96982661403625
WISHON,25151,Yosemite,12.0,1.0,,0,0,0,Yes,-119.50518495210504,37.15077516130075
PORTOLA,2261,San Francisco,4.16,2.0,,1380,120,1500,Yes,-122.45297067958056,37.74525528678235
PIT NO 7,10350,North Valley,12.0,1.0,,0,0,0,Yes,-121.9908102636006,40.84883693227003
SHEPHERD,25206,Fresno,21.0,1.0,,12177,13042,25219,No,-119.69451127750511,36.87266718173742
CHICO C,10265,North Valley,4.16,1.0,,410,20,430,No,-121.83856008023211,39.74305713932799
SF K,2213,San Francisco,4.16,5.0,,2620,4610,7230,Yes,-122.4838239209022,37.77662104706635
CRESCENT MILLS,10313,North Valley,21.0,1.0,,0,0,0,No,-120.91070330230104,40.093925518711536
LARKIN (Y),2280,San Francisco,12.0,6.0,,15080,1070,16150,Yes,-122.41709996298523,37.78386895744195
TULE POWER HOUSE,25859,Fresno,12.0,1.0,,0,0,0,No,-118.7060628045967,36.16309619762456
PLYMOUTH,2268,San Francisco,4.16,1.0,,600,110,710,No,-122.45577702187045,37.71258459729903
ACTON,2247,San Francisco,4.16,2.0,,580,10,590,No,-122.45185131815214,37.70866425535986
SAN BENITO,18274,Central Coast,21.0,1.0,,2676,3041,5717,No,-121.54942913233612,36.86860625244168
SULLIVAN,2285,Peninsula,4.16,1.0,,210,90,300,No,-122.4717637101012,37.68724547633245
WALL,1374,East Bay,4.16,1.0,,965,1047,2012,No,-122.31817641662892,37.92740629292976
RANDOLPH,2259,San Francisco,4.16,3.0,,263,282,545,No,-122.46933508414892,37.7145484958375
YOSEMITE,2249,San Francisco,4.16,3.0,,590,20,610,No,-122.39705250965748,37.72932287844001
BEACH (Q),2234,San Francisco,4.16,1.0,,100,0,100,No,-122.41439367858108,37.80767668920345
SILVER,2267,San Francisco,4.16,1.0,,340,20,360,No,-122.41440058169415,37.7292092119054
8TH AVENUE,1267,East Bay,4.16,1.0,,375,378,753,No,-122.24202081133105,37.80064538752543
SPAULDING,15225,Sierra,12.0,1.0,,10,10,20,No,-120.643761373542,39.32583317195124
BERKELEY T,1266,East Bay,4.16,2.0,,520,50,570,No,-122.25905444052576,37.86457393824122
BECK STREET,1264,East Bay,4.16,1.0,,60,60,120,No,-122.17570399534448,37.76624214689912
JUDAH,2240,San Francisco,4.16,2.0,,690,50,740,No,-122.493499260624,37.76070385654141
WESTLAKE,2260,Peninsula,4.16,2.0,,361,384,745,No,-122.48018281387162,37.69887646243163
SF E,2207,San Francisco,12.0,3.0,,5170,690,5860,No,-122.42031135616251,37.75998246201988
SF G,2209,San Francisco,4.16,3.0,,1460,330,1790,Yes,-122.44062610314488,37.78179800978079
CALFLAX,25344,Fresno,12.0,1.0,,2065,2065,4130,No,-120.12208024379596,36.28387686148028
PINECREST,16316,Yosemite,4.16,1.0,,0,0,0,No,-119.99379985135106,38.187947321566135
STANISLAUS,16282,Yosemite,17.0,1.0,2,1304,1549,2853,No,-120.36971689458166,38.14006225541333
CAL WATER,25545,Kern,12.0,1.0,,12833,13344,26177,No,-118.90059842079376,35.42222837471225
BABEL,1385,Diablo,4.16,1.0,,844,874,1718,No,-122.00737229942786,37.96340949870682
AVENAL,25500,Fresno,21.0,1.0,,8337,10060,18397,No,-120.1169296096175,35.978183285259895
7TH STANDARD,25458,Kern,12.0,2.0,,11930,12698,24628,No,-119.13116637687604,35.43969344317223
TAR FLAT,16324,Yosemite,4.16,1.0,,587,651,1238,No,-120.37980694800358,37.98475497824085
SAN JOAQUIN #3,25253,Yosemite,12.0,1.0,,279,317,596,No,-119.51929522608286,37.25390411510671
